Rank,Name,Revenues 2019,Profits 2019,Assets 2019,Employees 2019,Market Value 2019,
1,Walmart,514405,6670,219295,2200000,279880.3,
2,Exxon Mobil,290212,20840,346196,71000,342172,
3,Apple,265595,59531,365725,132000,895667.4,
4,Berkshire Hathaway,247837,4021,707794,389000,493870.3,
5,Amazon.com,232887,10073,162648,647500,874709.5,
6,UnitedHealth Group,226247,11986,152221,300000,237255.5,
7,McKesson,208357,67,60381,68000,22455.1,
8,CVS Health,194579,-594,196456,295000,69951.6,
9,AT&T,170756,19370,531864,268220,228444.7,
10,AmerisourceBergen,167939.6,1658.4,37669.8,20500,16785.9,
11,Chevron,166339,14824,253863,48600,234049.7,
12,Ford Motor,160338,3677,256540,199000,35028,
13,General Motors,147049,8014,227339,173000,52291.7,
14,Costco,141576,3134,40830,194000,106512.6,
15,Alphabet,136819,30736,232792,98771,816824.2,
16,Cardinal Health,136809,256,39951,50200,14349.5,
17,Walgreens,131537,5024,68124,299000,59691.7,
18,J.P. Morgan Chase,131412,32474,2622532,256105,331451.5, 
19,Verizon,130863,15528,264829,144500,244327.9,
20,Kroger,121162,3110,38118,453000,19630.8,
21,General Electric,120268,-22355,309129,283000,87009.3,
22,Fannie Mae,120101,15959,3418318,7400,3242.6,
23,Phillips 66,114217,5595,54302,14200,43240.7,
24,Valero Energy,111407,3122,50155,10261,35426.1,
25,Bank of America Corp.,110584,28147,2354507,204489,265938.5,
26,Microsoft,110360,16571,258848,131000,904860.9,
27,Home Depot,108203,11121,44003,413000,211828,
28,Boeing,101127,10460,117359,153000,215304.7,
29,Wells Fargo,101060,22393,1895883,258700,219467.1,
30,Citigroup,97120,18045,1917383,204000,145625.4,
31,Marathon Petroleum,97102,2780,92940,60350,40258.2,
32,Comcast,94507,11731,251684,184000,180948,
33,Anthem,92105,3750,71571,63900,73826.6,
34,DuPont,85977,3844,188030,98000,120201.4,
35,State Farm Insurance Cos.,81732.2,8788.4,272518.4,56788,0,
36,Johnson & Johnson,81581,15297,152954,135100,372228.9,
37,IBM,79591,8728,123382,381100,125560.1,
38,Target,75356,2937,41290,360000,41440.9,
39,Freddie Mac,73598,9235,2063060,6621,1748.7,
40,UPS,71861,4791,50016,364575,96116.3,
41,Lowe's,71309,2314,34508,245000,87685.5,
42,Intel,70848,21053,127963,107400,241488.9,
43,MetLife,67941,5123,687538,48000,40751,
44,Procter & Gamble,66832,9750,118310,92000,260289.4,
45,United Technologies,66501,5269,134211,240200,111146,
46,FedEx,65450,4572,52330,359000,47270.8,
47,PepsiCo,64661,12515,77648,267000,172094.7,
48,Archer Daniels Midland,64341,1810,40833,31600,24156.7,
49,Prudential Financial,62992,4074,815078,50492,37517.7,
50,Centene,60116,900,30901,47300,21939.7,
51,Disney,59434,12598,98598,201000,199589.9,
52,Sysco,58727.3,1430.8,18070.4,67000,34278.8,
53,HP,58472,5327,34622,55000,29795.9,
54,Humana,56912,1683,25413,41600,36079.6,
55,Facebook,55838,22112,97334,35587,475731.6,
56,Caterpillar,54722,6147,78509,104000,77980.3,
57,Energy Transfer Equity,54436,1694,88246,11768,40260,
58,Lockheed Martin,53762,5046,44876,105000,84887.6,
59,Pfizer,53647,11153,159422,92400,235785.1,
60,Goldman Sachs Group,52528,10459,931796,36600,70414.9,
61,Morgan Stanley,50193,8748,853531,60348,72110.8,
62,Cisco Systems,49330,110,108784,74200,237665.5,
63,Cigna,48650,2637,153226,73800,61058.9,
64,Time Warner,48650,2637,153226,73800,61058.9,
65,AIG,47389,-6,491984,49600,37440.1,
66,American Airlines Group,44541,1412,60580,128900,14262,
67,Delta Air Lines,44438,3935,60266,88680,35067.8,
68,Charter Communications,43634,1230,146130,98000,85923.4,
69,New York Life Insurance,43425.3,880,311449.3,11388,0,
70,American Express,43281,6921,188602,59000,91675.1,
71,Nationwide,43270,512.6,214141.9,30472,0,
72,Best Buy,42879,1464,12901,125000,19030.2,
73,Liberty Mutual Insurance Group,42685,2160,125989,50000,0,
74,Merck,42294,6220,82637,69000,214680.1,
75,Honeywell International,41802,6765,57773,114000,115752.5,
76,United Continental Holdings,41303,2129,44792,92000,21279.5,
77,TIAA,41052.1,1560.5,568190.2,17643,0,
78,Tyson Foods,40052,3024,29109,121000,25360.5,
79,Oracle,39831,3825,137264,137000,183562.2,
80,Allstate,39815,2252,112249,45420,31264.3,
81,World Fuel Services,39750.3,127.7,5676.9,5000,1940.6,
82,Massachusetts Mutual Life Insurance,39267.2,397.9,265812.6,9844,0,
83,TJX,38972.9,3059.8,14326,270000,65615.7,
84,ConocoPhillips,38727,6257,69980,10800,75710.1,
85,Deere,37357.7,2368.4,70108,74413,50908,
